Chr,Start,End,Strand,Gene_ID
1,56,1727,+,107853509
1,55577,57565,-,124899250
1,71398,80808,-,107846886
1,85567,86121,+,107853770
1,92540,95618,-,124899258
1,146825,171265,-,107851970
1,157214,157896,-,124899260
1,163760,165698,-,124899263
1,203211,206288,+,107863563
1,210518,214721,-,107863550
1,227073,230649,+,107863545
1,230729,233021,-,107863537
1,233942,236817,-,107863532
1,241665,247032,+,107863523
1,276147,287274,+,107863507
1,307758,311738,+,107863500
1,315798,316823,+,107863489
1,318551,322798,+,107863475
1,324562,326657,+,107863464
1,326794,338191,-,107863457
1,339053,355494,-,107863450
1,362709,367461,-,107863444
1,380958,382098,-,107851999
1,395902,398074,+,107863580
1,401045,404542,-,107863586
1,413587,418268,+,107863603
1,418504,425055,-,107863594
1,441163,442191,+,124899290
1,446173,449441,+,107863609
1,451192,453436,-,107863612
1,458247,459880,-,107863622
1,462017,464463,-,107863632
1,503930,509298,+,107863647
1,515465,516922,-,107852008
1,576078,577322,+,107852018
1,578419,580866,-,107863663
1,589590,594218,-,107863655
1,599825,609014,-,107863668
1,606600,607220,-,107863684
1,610491,622339,+,107863705
1,622552,625888,-,107863687
1,633854,635068,+,107863712
1,637723,648953,+,107863716
1,649601,650906,-,124899306
1,651053,666033,-,107863723
1,671563,676293,+,107863727
1,676522,681125,+,107863733
1,681196,684725,-,107863739
1,708392,719214,-,107863750
1,719362,724678,-,107863744
1,728700,733173,-,107863757
1,734205,738524,-,107863762
1,739251,744156,-,107863769
1,745140,747884,-,107852025
1,750056,755733,-,107863779
1,778425,789152,+,107863798
1,790501,793073,-,107863803
1,804348,810252,+,107863809
1,816311,817852,+,107852032
1,819688,826460,-,107863817
1,828591,833905,-,107863823
1,843853,849074,-,107863832
1,852075,857825,+,107863840
1,861966,870349,-,107863847
1,873810,882256,+,107863855
1,882893,893458,+,107863875
1,894177,899094,-,107863884
1,900988,907481,+,107863891
1,908790,910811,-,124899326
1,913081,914275,-,107866923
1,944369,945862,-,107863900
1,990575,997673,+,107863913
1,994402,995948,+,107863906
1,996721,997915,-,107868378
1,1020590,1020997,+,124891628
1,1025740,1026529,-,107869215
1,1044525,1047971,+,107870177
1,1108210,1112668,+,107863935
1,1113134,1137572,-,107863944
1,1163507,1166468,+,107863962
1,1172763,1177336,-,107863967
1,1199309,1203201,+,107852066
1,1204571,1206892,-,107855289
1,1207684,1209435,-,107855288
1,1216801,1219455,-,107864081
1,1222899,1226047,-,107864058
1,1227382,1231082,-,107864047
1,1232031,1239291,+,107864037
1,1242342,1247445,+,107864028
1,1247482,1256866,-,107864020
1,1257980,1263251,+,107864001
1,1263799,1267517,-,107864009
1,1280893,1286445,+,107863992
1,1294229,1294654,-,124891636
1,1314293,1315737,-,107863977
1,1364861,1365605,+,124885486
1,1367318,1371220,+,107864113
1,1385883,1386441,-,107864064
1,1393682,1399034,-,107864089
1,1427191,1432346,-,107864098
1,1489381,1493459,-,107864105
1,1499886,1504496,+,107864131
1,1509283,1512132,-,107864138
1,1513699,1519944,-,107864148
1,1521329,1524709,-,107864167
1,1525068,1531764,-,107864175
1,1538145,1538873,-,124899349
1,1548145,1549598,-,107852086
1,1549802,1557468,-,107864185
1,1562403,1570012,-,107864193
1,1596078,1597156,+,107875885
1,1600077,1609168,+,107864199
1,1613739,1614866,-,107876666
1,1616933,1623205,-,107864236
1,1631718,1632725,+,124891701
1,1635850,1640864,+,107855304
1,1642471,1643700,+,107855306
1,1646765,1648853,+,107855324
1,1648048,1653844,-,107855323
1,1656904,1661617,-,107855295
1,1672084,1676197,-,107855296
1,1677787,1684293,-,107855297
1,1688229,1696723,-,107855293
1,1698533,1699906,+,107855308
1,1700409,1704752,-,107855309
1,1753552,1758380,+,107855325
1,1764187,1769289,+,107855302
1,1773560,1777159,+,107855303
1,1801926,1803683,+,107855342
1,1826808,1827422,-,107855290
1,1828462,1833443,+,107855299
1,1833305,1846364,-,107855298
1,1849970,1857120,-,107855315
1,1865199,1874090,+,107855291
1,1874669,1880702,-,107855292
1,1890399,1893565,+,107855340
1,1909148,1914224,+,107855284
1,1918484,1921613,+,107855333
1,1922125,1925300,+,107855283
1,1935443,1942402,+,107855317
1,1985104,1986210,+,107855287
1,1998498,2006850,+,107855322
1,2007148,2009304,-,107855321
1,2021969,2023254,+,107855334
1,2034153,2035246,+,107855314
1,2035593,2040252,-,107855313
1,2048103,2050352,-,107855281
1,2054017,2059735,-,107855312
1,2063102,2067460,-,107855316
1,2089377,2090573,+,107855327
1,2145431,2151749,+,107855343
1,2153522,2155525,-,107855318
1,2178229,2185986,+,107855320
1,2210129,2217418,+,107855300
1,2217727,2221258,-,107855301
1,2243863,2250368,+,107855328
1,2251324,2262618,-,107855307
1,2271317,2280462,-,107855276
1,2285892,2291314,-,107855339
1,2295847,2302009,+,107855319
1,2302164,2307550,+,107855335
1,2317820,2324757,+,107855326
1,2326764,2339166,+,107855310
1,2343057,2349718,+,107855332
1,2343364,2345061,+,107855330
1,2387316,2388940,-,107852113
1,2438188,2450607,+,107864242
1,2454576,2455414,+,124899402
1,2469728,2470426,+,124892066
1,2472729,2476579,-,107864257
1,2491630,2494397,-,107839435
1,2495105,2497602,-,107864274
1,2502231,2504863,+,107864283
1,2505921,2513208,-,107864295
1,2516531,2527514,-,107864310
1,2528316,2540733,-,107864314
1,2547050,2554651,-,107864337
1,2556331,2557172,-,107852119
1,2559809,2560503,-,107852129
1,2562657,2563408,-,107840254
1,2569483,2576070,-,107864348
1,2586567,2591789,-,107864356
1,2644992,2651416,+,107864363
1,2670722,2678891,+,107841093
1,2679856,2681537,+,107841920
1,2687891,2688832,+,107843409
1,2701573,2711988,-,107864374
1,2714476,2722433,-,107864391
1,2723377,2729124,-,107864404
1,2731492,2741374,+,107864412
1,2745224,2747356,+,107864421
1,2768719,2772603,+,107864432
1,2775371,2786601,+,107864456
1,2787186,2790114,-,107852136
1,2797081,2804016,+,107864477
1,2828278,2830335,-,107852145
1,2870281,2874880,-,124895875
1,2883946,2885846,+,107847511
1,2891956,2892957,-,124895891
1,2895502,2897084,-,107852155
1,2904354,2907666,+,107852163
1,2912155,2917297,-,107864496
1,2917991,2926266,+,107864504
1,2935758,2937185,-,107864513
1,2948543,2951167,-,107864521
1,2967605,2975259,-,107864529
1,2981315,2983607,-,107852177
1,2984593,2985402,-,107848179
1,3006901,3010295,-,107864538
1,3019710,3021277,-,107852193
1,3023061,3028259,-,107864546
1,3031890,3038448,+,107864552
1,3046631,3050187,+,107852202
1,3051870,3053719,+,107849021
1,3053957,3054710,+,107849878
1,3060605,3062331,-,107852220
1,3068067,3072200,+,107864583
1,3072150,3077318,-,107864574
1,3098253,3104558,-,107840455
1,3115399,3117363,-,107852230
1,3128094,3129859,+,124899531
1,3129373,3131483,-,107864593
1,3133838,3135729,-,107852237
1,3152899,3157258,+,107864622
1,3159790,3170938,-,107864629
1,3173643,3178006,-,107864644
1,3202673,3205646,+,107864652
1,3207227,3210616,-,107864661
1,3233356,3234229,+,107864670
1,3249120,3252975,-,107852250
1,3265383,3269242,+,107864679
1,3283433,3298613,-,107864692
1,3299511,3306659,-,107864703
1,3311905,3322531,+,107864717
1,3334929,3339318,+,107864733
1,3349628,3355966,+,107864746
1,3369223,3372973,+,107864755
1,3382587,3390605,-,107864765
1,3418300,3430274,+,107864781
1,3431609,3438261,-,107864790
1,3496784,3505426,+,107865234
1,3518588,3528540,-,107865250
1,3557068,3562059,+,107865280
1,3564082,3566368,+,107865289
1,3582805,3584757,+,107865299
1,3585850,3591176,-,107865309
1,3612496,3615838,-,107865316
1,3624919,3635783,-,107865342
1,3639069,3646620,-,107865326
1,3651821,3652944,+,107865356
1,3655960,3660547,+,107865390
1,3662465,3670605,-,107852073
1,3675052,3683926,+,107865462
1,3686569,3694052,+,107865478
1,3696093,3700465,-,107865488
1,3715164,3717700,-,107865505
1,3719677,3731387,-,107865119
1,3735401,3750143,-,107865167
1,3757705,3774435,-,107865193
1,3786972,3823564,-,107865127
1,3834565,3835437,-,107865107
1,3843710,3846076,+,107865099
1,3853487,3856262,+,107865090
1,3864957,3868245,+,107857373
1,3900829,3907734,+,107864977
1,3912898,3916988,+,107852274
1,3921731,3924195,+,107864967
1,3924938,3929462,+,107864958
1,3929206,3930024,+,124895994
1,3958972,3961266,+,107864948
1,3981034,3988569,+,107864919
1,3988758,3990898,-,107864937
1,3991702,3995046,-,107864929
1,4004668,4011301,+,107864886
1,4021023,4026075,+,107864851
1,4026374,4032275,-,107864876
1,4054139,4056283,+,107864842
1,4058406,4063284,-,107864808
1,4067467,4074157,-,107864817
1,4075649,4079916,+,107864830
1,4082421,4084358,+,107852265
1,4095424,4097680,+,107852260
1,4098362,4105090,-,107864798
1,4108744,4109428,+,107876479
1,4110653,4117350,-,124896010
1,4144152,4144826,+,107851414
1,4170922,4173791,+,107856548
1,4180286,4184105,-,107856545
1,4217555,4228341,+,124899700
1,4243315,4271707,-,107856546
1,4368235,4373639,+,107856549
1,4400449,4400898,-,124896034
1,4427719,4428870,+,124896037
1,4428891,4430688,+,107856544
1,4480626,4482109,-,124899703
1,4493308,4496997,-,107865400
1,4500618,4501730,-,107865407
1,4532617,4537471,+,107857957
1,4555170,4557250,-,107852296
1,4575681,4589675,-,124896052
1,4703906,4709874,+,107865524
1,4711110,4712434,-,107865537
1,4724139,4725143,-,107852310
1,4790430,4791825,-,107852374
1,4844401,4846144,-,107852365
1,4866186,4868540,-,107858746
1,4880933,4881805,+,107858666
1,4969758,4972094,-,107858599
1,4992324,4996386,+,107865781
1,5003482,5010202,+,107865765
1,5305324,5306143,+,107852328
1,5372114,5376771,+,107852318
1,5379863,5392548,+,107858233
1,5409096,5412360,+,107865743
1,5416015,5428164,+,107865754
1,5430538,5433697,+,107865728
1,5454771,5456031,+,107858149
1,5534181,5554329,+,107865699
1,5554692,5557522,-,107865713
1,5573926,5574953,+,107865691
1,5609628,5610594,+,107865680
1,5612469,5613317,-,107865671
1,5634432,5635289,-,107865660
1,5637452,5638536,+,107865651
1,5657140,5658003,-,107865631
1,5659743,5660685,-,107865640
1,5666350,5667352,-,107865624
1,5683127,5684226,-,107865615
1,5701250,5712440,+,107865582
1,5719902,5724121,+,107865562
1,5724257,5726357,+,107865572
1,5726429,5729895,-,107865553
1,5739678,5741781,+,107865545
1,5758524,5782562,-,107865815
1,5797258,5799445,+,124897167
1,5811341,5817022,+,107865808
1,5820960,5827769,+,107865798
1,5830039,5831276,-,107865787
1,5857299,5866592,-,107858821
1,5870821,5875316,-,107865845
1,5891217,5895464,-,107852381
1,5927332,5939898,+,107865856
1,5940004,5943021,-,107865867
1,5971216,5980004,-,107865877
1,5985328,5994882,+,107865887
1,5997180,6001089,+,107865908
1,6007744,6009867,-,107865930
1,6015683,6020511,-,107865960
1,6041590,6044815,+,107865970
1,6051012,6058270,+,107865980
1,6070482,6073483,+,107865989
1,6084407,6086607,-,107852382
