,CHROM,START,END,STRAND,GENE
0,1,4326,6848,+,LOC104645797
1,1,7032,21014,-,Solyc01g004004.1
2,1,9359,18687,+,Solyc01g004002.1
3,1,12706,15340,+,Solyc01g004008.1
4,1,13023,15023,+,Solyc01g005000.3
5,1,13130,14916,+,Solyc01g004006.1
6,1,13791,14255,+,Solyc01g004000.1
7,1,23079,26009,+,Solyc01g005010.4
8,1,30726,43941,-,Solyc01g005020.3
9,1,44358,50095,+,LOC101263144
10,1,50218,54856,+,Solyc01g005030.4
11,1,55802,56936,+,Solyc01g005040.3
12,1,57353,58374,+,Solyc01g005050.4
13,1,58677,61143,-,Solyc01g005060.3
14,1,65429,67077,+,Solyc01g005070.3
15,1,67122,73105,-,Solyc01g005080.3
16,1,82676,87395,-,Solyc01g005090.3
17,1,91808,97381,-,Solyc01g005100.4
18,1,99373,103267,+,Solyc01g005110.3
19,1,104201,107427,-,Solyc01g005120.3
20,1,122732,125786,+,Solyc01g005130.2
21,1,127107,129274,-,Solyc01g005140.3
22,1,131795,134337,-,Solyc01g005150.3
23,1,137849,139288,+,CMPG1
24,1,141490,143095,+,Solyc01g005160.4
25,1,147111,169447,+,Solyc01g005210.4
26,1,147299,148207,-,LOC104645776
27,1,151495,152358,+,Solyc01g005180.1
28,1,153938,155321,+,LOC101245979
29,1,173577,180885,+,Solyc01g005220.3
30,1,181244,183103,+,Solyc01g005230.4
31,1,185581,191640,+,Solyc01g005240.4
32,1,191870,195077,-,Solyc01g005250.4
33,1,195693,199183,+,Solyc01g005253.1
34,1,200045,203511,-,Solyc01g005257.1
35,1,204609,207586,-,Solyc01g005280.3
36,1,208967,211734,-,Solyc01g005290.4
37,1,216685,220379,+,Solyc01g005300.4
38,1,220595,225978,-,Solyc01g005310.3
39,1,221662,222263,+,LOC112940856
40,1,226401,228602,-,Solyc01g005320.2
41,1,232004,237028,-,Solyc01g005330.3
42,1,241033,245665,-,Solyc01g005340.3
43,1,247884,249564,-,Solyc01g005350.4
44,1,257039,258882,+,Solyc01g005360.4
45,1,259614,260573,+,Solyc01g005370.3
46,1,261136,265628,+,Solyc01g005380.3
47,1,276085,278011,+,Solyc01g005390.3
48,1,279989,283635,+,Solyc01g005400.3
49,1,286598,290153,+,Solyc01g005410.4
50,1,293611,294437,-,Solyc01g005420.2
51,1,298878,303549,+,Solyc01g005430.3
52,1,308945,312434,+,Solyc01g005440.4
53,1,314680,317621,-,Solyc01g005450.3
54,1,317923,320947,-,Solyc01g005460.4
55,1,322628,324969,-,Solyc01g005470.3
56,1,333079,337013,+,Solyc01g005480.3
57,1,337968,340613,-,Solyc01g005490.3
58,1,344785,346610,+,Solyc01g005500.3
59,1,346972,349001,-,Solyc01g005510.3
60,1,349933,352718,+,Solyc01g005520.4
61,1,353797,356451,-,Solyc01g005530.3
62,1,359813,370431,-,Solyc01g005540.4
63,1,372075,372964,+,LOC109119840
64,1,382365,385467,+,Solyc01g005550.3
65,1,394378,399267,+,Solyc01g005560.3
66,1,401107,403371,-,Solyc01g005570.4
67,1,407054,409088,-,Solyc01g005580.2
68,1,416878,417395,+,Solyc01g005590.2
69,1,420234,426354,-,Solyc01g005600.4
70,1,427598,430809,+,Solyc01g005610.4
71,1,430558,435068,-,Solyc01g005620.3
72,1,440481,442004,-,LOC109120141
73,1,440917,441057,-,LOC112940815
74,1,441110,441185,-,LOC112940786
75,1,441243,441338,-,LOC112940785
76,1,445041,445619,+,Solyc01g005630.3
77,1,446798,454509,+,Solyc01g005640.4
78,1,455245,456843,-,Solyc01g005650.3
79,1,460031,461982,+,Solyc01g005660.3
80,1,465012,467656,+,Solyc01g005670.3
81,1,472520,477270,+,Solyc01g005680.4
82,1,477972,480385,-,Solyc01g005690.3
83,1,480867,489566,-,Solyc01g005700.3
84,1,489784,490386,+,Solyc01g005710.2
85,1,490601,493540,+,Solyc01g005720.3
86,1,493455,494586,-,Solyc01g005730.3
87,1,496374,496858,-,Solyc01g005740.3
88,1,496496,499324,+,Solyc01g005750.1
89,1,498533,501439,+,Solyc01g005760.3
90,1,499428,508763,-,Solyc01g005780.1
91,1,500456,504596,+,Solyc01g150100.1
92,1,501549,501883,-,Solyc01g005770.3
93,1,505512,505776,+,Solyc01g005783.1
94,1,505850,506258,+,Solyc01g005787.1
95,1,506594,507970,-,Solyc01g005790.1
96,1,512714,516751,-,Solyc01g005800.3
97,1,530340,534777,+,Solyc01g005810.3
98,1,535524,541736,+,Solyc01g005820.4
99,1,537579,537658,+,LOC112940795
100,1,537901,537980,+,LOC112940793
101,1,538238,538315,+,LOC112940794
102,1,565099,571148,+,Solyc01g005830.4
103,1,571899,574927,+,Solyc01g005840.3
104,1,576092,576978,+,Solyc01g005850.2
105,1,578962,580293,+,Solyc01g005860.2
106,1,580977,584113,-,Solyc01g005870.3
107,1,584528,589022,+,Solyc01g005880.1
108,1,588997,589913,+,Solyc01g005890.1
