,CHROM,START,END,STRAND,GENE
1,0,93750,94430,+,Solyc00g500001.1
2,0,305442,306257,-,Solyc00g500002.1
3,0,311496,382066,-,Solyc00g500003.1
4,0,417592,418482,+,Solyc00g500004.1
5,0,478389,478640,+,Solyc00g500005.1
6,0,481288,483182,-,Solyc00g500006.1
7,0,497941,498614,+,Solyc00g500007.1
8,0,531008,531682,+,Solyc00g500008.1
9,0,531761,537711,+,Solyc00g500009.1
10,0,544694,545489,+,Solyc00g500010.1
11,0,549361,586470,+,Solyc00g500011.1
12,0,584354,596916,-,Solyc00g500012.1
13,0,589339,596916,+,Solyc00g500013.1
14,0,628120,644283,+,Solyc00g500014.1
15,0,701546,719208,+,Solyc00g500015.1
16,0,914971,916182,-,Solyc00g500016.1
17,0,994894,998273,+,Solyc00g500017.1
18,0,1000060,1003182,-,Solyc00g500018.1
19,0,1037013,1037559,-,Solyc00g014290.1
20,0,1075280,1075782,-,Solyc00g005280.1
21,0,1361849,1365340,+,Solyc00g500019.1
22,0,1366069,1367940,+,Solyc00g500020.1
23,0,1369394,1369774,-,Solyc00g500021.1
24,0,1372575,1373384,+,Solyc00g500022.1
25,0,1373658,1373909,-,Solyc00g180440.1
26,0,1374595,1377031,-,Solyc00g500023.1
27,0,1377421,1378947,+,Solyc00g500024.1
28,0,1379543,1381059,-,Solyc00g500025.1
29,0,1379574,1380279,+,Solyc00g500026.1
30,0,1380618,1381319,+,Solyc00g500027.1
31,0,1382210,1382734,+,Solyc00g500028.1
32,0,1383462,1383939,-,Solyc00g500029.1
33,0,1384005,1384421,-,Solyc00g500030.1
34,0,1384961,1385901,-,Solyc00g500031.1
35,0,1386027,1386383,-,Solyc00g500032.1
36,0,1386985,1389637,+,Solyc00g500033.1
37,0,1387611,1388719,-,Solyc00g500034.1
38,0,1389118,1389546,-,Solyc00g500035.1
39,0,1390207,1390608,-,Solyc00g500036.1
40,0,1391276,1398112,+,Solyc00g500037.1
41,0,1398302,1399583,+,Solyc00g500038.1
42,0,1404089,1405507,-,Solyc00g500039.1
43,0,1413493,1414591,+,Solyc00g500040.1
44,0,1424193,1426417,-,Solyc00g500041.1
45,0,1428175,1431271,-,Solyc00g500042.1
46,0,1432066,1434052,-,Solyc00g500043.1
47,0,1441997,1443415,+,Solyc00g500044.1
48,0,1447921,1449202,-,Solyc00g500045.1
49,0,1449392,1456228,-,Solyc00g500046.1
50,0,1456896,1458386,+,Solyc00g500047.1
51,0,1459942,1460142,-,Solyc00g277510.1
52,0,1460668,1462197,-,Solyc00g500048.1
53,0,1466128,1466785,+,Solyc00g500049.1
54,0,1468765,1470288,-,Solyc00g500050.1
55,0,1473386,1475037,-,Solyc00g500051.1
56,0,1475301,1482402,-,Solyc00g500052.1
57,0,1482429,1483103,-,Solyc00g500053.1
58,0,1492125,1494555,+,Solyc00g500054.1
59,0,1496023,1496540,-,Solyc00g500055.1
60,0,1496632,1498836,-,Solyc00g500056.1
61,0,1498862,1501114,-,Solyc00g500057.1
62,0,1501873,1503003,-,Solyc00g500058.1
63,0,1503415,1503858,-,Solyc00g500059.1
64,0,1504953,1506082,-,Solyc00g500060.1
65,0,1508614,1509090,-,Solyc00g500061.1
66,0,1509196,1509960,-,Solyc00g500062.1
67,0,1512451,1516659,+,Solyc00g500063.1
68,0,1512915,1514411,-,Solyc00g500064.1
69,0,1517470,1519799,+,Solyc00g500065.1
70,0,1520244,1520798,+,Solyc00g500066.1
71,0,1521528,1523399,+,Solyc00g500067.1
72,0,1524854,1525234,-,Solyc00g500068.1
73,0,1529733,1530292,-,Solyc00g500069.1
74,0,1530401,1531488,-,Solyc00g500070.1
75,0,1532881,1534407,+,Solyc00g500071.1
76,0,1535034,1535739,+,Solyc00g500072.1
77,0,1536348,1538194,+,Solyc00g500073.1
78,0,1538922,1539399,-,Solyc00g500074.1
79,0,1539465,1539881,-,Solyc00g500075.1
